plot_id,basal_area,aerial_biomass_total,trunk_bark_biomass,leaf_biomass,trunk_wood_biomass,branch_wo_leaves_biomass,basal_area_dec_dominant,density_dec_dominant,aerial_carbon_total,trunk_bark_carbon,accumulated_aerial_co2,dbh,density,basal_area_species_dominant,density_species_dominant,basal_area_genus_dominant,density_genus_dominant,over_bark_volume,coords_longitude,coords_latitude,admin_region,admin_municipality,topo_altitude_asl,clim_prec_year,clim_tmin_year
P_02651,20.84,86.43,9.89,4.02,43.87,28.65,Conífera,Esclerofil·le,42.97,5.06,157.54,18.31,791.81,Quercus ilex,Quercus ilex,Pinus,Quercus,83.94,2.3,41.7,Vallès Oriental,Cànoves i Samalús,679.81,822.7,7
P_02654,26.12,102.01,10.34,6.46,49,36.21,Esclerofil·le,Esclerofil·le,49.05,4.92,179.85,12.8,2029.69,Quercus ilex,Quercus ilex,Quercus,Quercus,72.71,2.33,41.7,Vallès Oriental,Cànoves i Samalús,640.16,816.9,7.2
P_02655,35.54,154.23,16.81,8.53,78.99,49.9,Esclerofil·le,Esclerofil·le,73.63,7.89,269.97,13.87,2351.96,Quercus ilex,Quercus ilex,Quercus,Quercus,111.45,2.34,41.7,Vallès Oriental,Cànoves i Samalús,449.62,780.6,7.6
P_02656,24.84,147.87,17.25,4.66,91.83,34.12,Esclerofil·le,Esclerofil·le,70.58,8.13,258.81,17.64,1016.61,Quercus ilex,Quercus ilex,Quercus,Quercus,129.22,2.37,41.7,Vallès Oriental,Sant Pere de Vilamajor,402.76,795.4,7.9
P_02664,2.81,14.11,1.53,0.53,8.4,3.65,Esclerofil·le,Esclerofil·le,6.73,0.72,24.68,18.05,109.64,Quercus ilex,Quercus ilex,Quercus,Quercus,12.08,2.25,41.69,Vallès Oriental,Figaró-Montmany,436.98,742.7,7.6
P_02667,22.48,104.23,13.35,3.19,57.64,30.05,Conífera,Conífera,52.98,7.1,194.24,31.83,282.52,Pinus halepensis,Pinus halepensis,Pinus,Pinus,125.31,2.3,41.69,Vallès Oriental,Cànoves i Samalús,413.22,745.4,7.8
P_02672,16.13,74.78,9.35,2.63,41.78,21.01,Conífera,Conífera,38.16,5,139.93,36.19,156.75,Pinus pinea,Pinus pinea,Pinus,Pinus,91.05,2.23,41.68,Vallès Oriental,Bigues i Riells,343.31,698.8,8
P_02681,11.18,34.24,5.22,1.61,17.1,10.3,Esclerofil·le,Esclerofil·le,17.02,2.85,62.4,17.46,466.85,Quercus suber,Quercus suber,Quercus,Quercus,36.63,2.43,41.68,Vallès Oriental,Santa Maria de Palautordera,257.98,834.7,8.5
P_02684,19.98,120.2,13.45,3.66,73.63,29.46,Esclerofil·le,Esclerofil·le,58.14,6.51,213.18,18.76,722.63,Quercus ilex,Quercus ilex,Quercus,Quercus,118.12,2.19,41.67,Vallès Oriental,Bigues i Riells,277.96,675.6,8.1
P_02693,12.9,38.5,6.33,1.38,19.85,10.94,Esclerofil·le,Esclerofil·le,19,3.52,69.67,18.98,456.24,Quercus suber,Quercus suber,Quercus,Quercus,42.81,2.42,41.67,Vallès Oriental,Sant Antoni de Vilamajor,263.47,816.6,8.4
P_02694,13.81,68.73,7.78,3.25,38.27,19.43,Esclerofil·le,Esclerofil·le,32.77,3.65,120.17,14.19,873.58,Quercus ilex,Quercus ilex,Quercus,Quercus,53.49,2.43,41.67,Vallès Oriental,Llinars del Vallès,252.38,822.8,8.5
P_02695,41.03,206.42,32.83,6.03,124.87,42.7,Caducifoli,Caducifoli,100.56,15.81,368.73,15.86,2076.09,Quercus humilis,Quercus humilis,Quercus,Quercus,219.73,2.45,41.67,Vallès Oriental,Santa Maria de Palautordera,199.6,816.9,8.7
P_02699,42.22,124.54,18.64,3.72,66.98,35.2,Esclerofil·le,Esclerofil·le,61.69,10.64,226.19,20.46,1284.56,Quercus suber,Quercus suber,Quercus,Quercus,142.69,2.51,41.76,Vallès Oriental,Gualba,495.05,827.5,7.8
P_02700,17.76,72.24,8.88,1.46,45.09,16.81,Esclerofil·le,Esclerofil·le,35.47,5.07,130.07,29.56,258.89,Quercus suber,Quercus suber,Quercus,Quercus,83.68,2.52,41.76,Vallès Oriental,Gualba,383.77,801.1,8.2
